1,1,0.1,90,0,2335
1,1,0.1,0,180,57.3
1,1,0.1,45,0,1845.45
1,1,0.1,45,180,1628.53
1,1,0.1,0,90,215.15
1,1,0.1,45,90,1682.73
1,1,0.1,45,270,1645.65
1,1,0.2,0,90,76.25
1,1,0.2,0,180,27.13
1,1,0.2,45,0,672.95
1,1,0.2,45,90,825.25
1,1,0.2,45,180,528.6
1,1,0.2,45,270,550.38
1,1,0.2,90,0,1228.98
1,1,0.5,0,90,12.5
1,1,0.5,0,180,13.48
1,1,0.5,45,0,75.68
1,1,0.5,45,90,99.7
1,1,0.5,45,180,81.3
1,1,0.5,45,270,97.01
1,1,0.5,90,0,171.03
1,2,0.1,0,90,195.43
1,2,0.1,0,270,18.88
1,2,0.1,45,0,1642.03
1,2,0.1,45,90,1543.73
1,2,0.1,45,180,1530.58
1,2,0.1,45,270,1424.13
1,2,0.1,90,0,2018.98
1,2,0.2,0,90,77.15
1,2,0.2,0,270,25.55
1,2,0.2,45,0,723.8
1,2,0.2,45,90,1058.63
1,2,0.2,45,180,969.05
1,2,0.2,45,270,711.33
1,2,0.2,90,0,1392.48
1,2,0.5,0,90,20.13
1,2,0.5,45,0,77.93
1,2,0.5,45,90,118.98
1,2,0.5,45,180,105.43
1,2,0.5,45,270,76.53
1,2,0.5,90,0,207.15
1,3,0.1,0,0,34.23
1,3,0.1,0,90,218.88
1,3,0.1,45,0,1497.63
1,3,0.1,45,90,1498.63
1,3,0.1,45,180,1562.25
1,3,0.1,45,270,1337.85
1,3,0.1,90,0,1600.98
1,3,0.2,0,0,16.35
1,3,0.2,0,90,64.78
1,3,0.2,45,0,927.8
1,3,0.2,45,90,1158.56
1,3,0.2,45,180,959.55
1,3,0.2,45,270,924.63
1,3,0.2,90,0,1234.33
1,3,0.5,0,0,21.88
1,3,0.5,0,90,15.98
1,3,0.5,45,0,89.45
1,3,0.5,45,90,131.83
1,3,0.5,45,180,120.3
1,3,0.5,45,270,103.93
1,3,0.5,90,0,157.5
